	n	zI	zG_X_XX	zG_X_XY	zG_Y_XY	zG_Z_ZZ	zG_Z_ZW	zG_W_ZW	wI_star	wG_X_XX	wG_X_XY	wG_Y_XY	wG_Z_ZZ	wG_Z_ZW	wG_W_ZW	
	1.264	0.10443	0.0786832	0.0514943	0.208861	0.130178	0.157366	0	1.79114	1.77866	1.72025	1.69889	1.78273	1.76083	1	
	1.265	0.104743	0.0789443	0.0515976	0.209486	0.130542	0.157889	0	1.79051	1.77804	1.71933	1.69803	1.7821	1.76009	1	
	1.266	0.105055	0.0792051	0.0517004	0.210111	0.130906	0.15841	0	1.78989	1.77742	1.7184	1.69717	1.78148	1.75934	1	
	1.267	0.105367	0.0794656	0.0518029	0.210734	0.131268	0.158931	0	1.78927	1.7768	1.71748	1.69631	1.78085	1.75859	1	
	1.268	0.105678	0.0797258	0.0519048	0.211356	0.131631	0.159452	0	1.78864	1.77618	1.71656	1.69545	1.78022	1.75784	1	
	1.269	0.105989	0.0799858	0.0520064	0.211978	0.131992	0.159972	0	1.78802	1.77556	1.71564	1.6946	1.7796	1.7571	1	
	1.27	0.106299	0.0802455	0.0521075	0.212598	0.132353	0.160491	0	1.7874	1.77494	1.71472	1.69375	1.77897	1.75636	1	
	1.271	0.106609	0.0805049	0.0522081	0.213218	0.132713	0.16101	0	1.78678	1.77432	1.7138	1.69289	1.77835	1.75561	1	
	1.272	0.106918	0.0807641	0.0523083	0.213836	0.133072	0.161528	0	1.78616	1.77371	1.71288	1.69205	1.77773	1.75487	1	
	1.273	0.107227	0.081023	0.0524081	0.214454	0.133431	0.162046	0	1.78555	1.77309	1.71196	1.6912	1.77711	1.75413	1	
	1.274	0.107535	0.0812816	0.0525075	0.215071	0.133789	0.162563	0	1.78493	1.77248	1.71105	1.69035	1.77649	1.75339	1	
	1.275	0.107843	0.0815399	0.0526064	0.215686	0.134146	0.16308	0	1.78431	1.77187	1.71013	1.68951	1.77587	1.75265	1	
	1.276	0.10815	0.081798	0.0527049	0.216301	0.134503	0.163596	0	1.7837	1.77126	1.70922	1.68866	1.77525	1.75192	1	
	1.277	0.108457	0.0820558	0.052803	0.216915	0.134859	0.164112	0	1.78309	1.77065	1.70831	1.68782	1.77463	1.75118	1	
	1.278	0.108764	0.0823134	0.0529006	0.217527	0.135214	0.164627	0	1.78247	1.77004	1.7074	1.68698	1.77402	1.75044	1	
	1.279	0.10907	0.0825707	0.0529979	0.218139	0.135569	0.165141	0	1.78186	1.76943	1.70649	1.68614	1.7734	1.74971	1	
	1.28	0.109375	0.0828277	0.0530947	0.21875	0.135922	0.165655	0	1.78125	1.76883	1.70558	1.68531	1.77279	1.74897	1	
	1.281	0.10968	0.0830844	0.053191	0.21936	0.136275	0.166169	0	1.78064	1.76822	1.70467	1.68447	1.77217	1.74824	1	
	1.282	0.109984	0.0833409	0.053287	0.219969	0.136628	0.166682	0	1.78003	1.76762	1.70377	1.68364	1.77156	1.74751	1	
	1.283	0.110288	0.0835971	0.0533826	0.220577	0.13698	0.167194	0	1.77942	1.76701	1.70286	1.68281	1.77095	1.74678	1	
	1.284	0.110592	0.083853	0.0534777	0.221184	0.137331	0.167706	0	1.77882	1.76641	1.70196	1.68198	1.77034	1.74605	1	
	1.285	0.110895	0.0841087	0.0535724	0.22179	0.137681	0.168217	0	1.77821	1.76581	1.70106	1.68115	1.76973	1.74532	1	
	1.286	0.111198	0.0843641	0.0536668	0.222395	0.138031	0.168728	0	1.7776	1.76521	1.70016	1.68032	1.76913	1.74459	1	
	1.287	0.1115	0.0846193	0.0537607	0.222999	0.13838	0.169239	0	1.777	1.76461	1.69925	1.67949	1.76852	1.74387	1	
	1.288	0.111801	0.0848742	0.0538542	0.223602	0.138728	0.169748	0	1.7764	1.76401	1.69836	1.67867	1.76791	1.74314	1	
	1.289	0.112102	0.0851288	0.0539473	0.224205	0.139076	0.170258	0	1.7758	1.76341	1.69746	1.67785	1.76731	1.74242	1	
	1.29	0.112403	0.0853831	0.05404	0.224806	0.139423	0.170766	0	1.77519	1.76282	1.69656	1.67703	1.76671	1.74169	1	
	1.291	0.112703	0.0856372	0.0541322	0.225407	0.139769	0.171274	0	1.77459	1.76222	1.69567	1.67621	1.7661	1.74097	1	
	1.292	0.113003	0.085891	0.0542241	0.226006	0.140115	0.171782	0	1.77399	1.76163	1.69477	1.67539	1.7655	1.74025	1	
	1.293	0.113302	0.0861446	0.0543156	0.226605	0.14046	0.172289	0	1.7734	1.76104	1.69388	1.67457	1.7649	1.73953	1	
	1.294	0.113601	0.0863979	0.0544067	0.227202	0.140805	0.172796	0	1.7728	1.76044	1.69298	1.67376	1.7643	1.73881	1	
	1.295	0.1139	0.0866509	0.0544974	0.227799	0.141148	0.173302	0	1.7722	1.75985	1.69209	1.67294	1.7637	1.73809	1	
	1.296	0.114198	0.0869037	0.0545877	0.228395	0.141491	0.173807	0	1.7716	1.75926	1.6912	1.67213	1.76311	1.73737	1	
	1.297	0.114495	0.0871562	0.0546776	0.22899	0.141834	0.174312	0	1.77101	1.75867	1.69032	1.67132	1.76251	1.73666	1	
	1.298	0.114792	0.0874084	0.0547672	0.229584	0.142176	0.174817	0	1.77042	1.75808	1.68943	1.67051	1.76191	1.73594	1	
	1.299	0.115089	0.0876604	0.0548563	0.230177	0.142517	0.175321	0	1.76982	1.7575	1.68854	1.6697	1.76132	1.73523	1	
	1.3	0.115385	0.0879121	0.0549451	0.230769	0.142857	0.175824	0	1.76923	1.75691	1.68766	1.6689	1.76073	1.73451	1	
	1.301	0.11568	0.0881635	0.0550334	0.23136	0.143197	0.176327	0	1.76864	1.75633	1.68677	1.66809	1.76013	1.7338	1	
	1.302	0.115975	0.0884147	0.0551214	0.231951	0.143536	0.176829	0	1.76805	1.75574	1.68589	1.66729	1.75954	1.73309	1	
	1.303	0.11627	0.0886656	0.055209	0.23254	0.143875	0.177331	0	1.76746	1.75516	1.68501	1.66649	1.75895	1.73238	1	
	1.304	0.116564	0.0889163	0.0552962	0.233129	0.144213	0.177833	0	1.76687	1.75458	1.68413	1.66569	1.75836	1.73167	1	
	1.305	0.116858	0.0891667	0.0553831	0.233716	0.14455	0.178333	0	1.76628	1.754	1.68325	1.66489	1.75777	1.73096	1	
	1.306	0.117152	0.0894169	0.0554695	0.234303	0.144886	0.178834	0	1.7657	1.75342	1.68237	1.66409	1.75718	1.73025	1	
	1.307	0.117445	0.0896667	0.0555556	0.234889	0.145222	0.179333	0	1.76511	1.75284	1.68149	1.6633	1.7566	1.72955	1	
	1.308	0.117737	0.0899164	0.0556413	0.235474	0.145558	0.179833	0	1.76453	1.75226	1.68062	1.6625	1.75601	1.72884	1	
	1.309	0.118029	0.0901657	0.0557266	0.236058	0.145892	0.180331	0	1.76394	1.75168	1.67974	1.66171	1.75543	1.72813	1	
	1.31	0.118321	0.0904148	0.0558116	0.236641	0.146226	0.18083	0	1.76336	1.7511	1.67887	1.66092	1.75484	1.72743	1	
	1.311	0.118612	0.0906636	0.0558962	0.237223	0.14656	0.181327	0	1.76278	1.75053	1.67799	1.66013	1.75426	1.72673	1	
	1.312	0.118902	0.0909122	0.0559804	0.237805	0.146893	0.181824	0	1.7622	1.74995	1.67712	1.65934	1.75368	1.72603	1	
	1.313	0.119193	0.0911605	0.0560643	0.238385	0.147225	0.182321	0	1.76161	1.74938	1.67625	1.65855	1.7531	1.72532	1	
	1.314	0.119482	0.0914086	0.0561478	0.238965	0.147556	0.182817	0	1.76104	1.74881	1.67538	1.65777	1.75252	1.72462	1	
	1.315	0.119772	0.0916564	0.0562309	0.239544	0.147887	0.183313	0	1.76046	1.74824	1.67452	1.65698	1.75194	1.72393	1	
	1.316	0.120061	0.0919039	0.0563137	0.240122	0.148218	0.183808	0	1.75988	1.74767	1.67365	1.6562	1.75136	1.72323	1	
	1.317	0.120349	0.0921512	0.0563961	0.240699	0.148547	0.184302	0	1.7593	1.7471	1.67278	1.65542	1.75078	1.72253	1	
	1.318	0.120637	0.0923983	0.0564782	0.241275	0.148876	0.184797	0	1.75873	1.74653	1.67192	1.65464	1.75021	1.72183	1	
	1.319	0.120925	0.092645	0.0565598	0.24185	0.149205	0.18529	0	1.75815	1.74596	1.67106	1.65386	1.74963	1.72114	1	
	1.32	0.121212	0.0928915	0.0566412	0.242424	0.149533	0.185783	0	1.75758	1.74539	1.67019	1.65308	1.74906	1.72044	1	
	1.321	0.121499	0.0931378	0.0567222	0.242998	0.14986	0.186276	0	1.757	1.74483	1.66933	1.65231	1.74848	1.71975	1	
